Project,Issue Type,Summary,Description,Priority,Assignee,Labels,Components,Epic Name,Epic Link
AVNZ,Epic,RPS FastAPI CSV & Web Proxies,Implement RPS FastAPI CSV export plus web API proxies and admin pages; include smoke script and validations.,High,Emma Johansson,"backlog,autogen,codex,brave-mode",AI;Web;API,RPS FastAPI CSV & Web Proxies,
AVNZ,Task,AI: Add ?format=csv for Orders/Customers/Transactions,"Add CSV support to apps/ai/app/rps/router.py for Orders, Customers, Transactions with proper content-type and auth.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",AI,,RPS FastAPI CSV & Web Proxies
AVNZ,Task,Web: RPS API proxies (orders/customers/transactions),"Create/update web API proxy routes: app/api/rps/orders, app/api/rps/orders/[id], app/api/rps/customers, app/api/rps/transactions with JWT+refresh fallback.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",Web,,RPS FastAPI CSV & Web Proxies
AVNZ,Task,Web: Admin UI pages for RPS,"Add admin pages and table components: app/admin/dashboard/rps (overview), orders, customers, transactions; match Clients page scaffolding.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",Web,,RPS FastAPI CSV & Web Proxies
AVNZ,Task,Scripts: rps smoke test,"Add scripts/rps/smoke.sh to verify 401 unauthenticated, CSV export from ai:/rps/orders?format=csv, and probe web:/api/rps/orders.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Ops,,RPS FastAPI CSV & Web Proxies
AVNZ,Task,Docs: Update SUMMARY.MD for RPS work,"Document files touched, endpoints added, and any env/secret expectations after RPS implementation.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Docs,,RPS FastAPI CSV & Web Proxies
AVNZ,Epic,Outbox → SQS/KEDA Productionization,"Replace local DB polling worker with SQS-backed mailer worker and autoscaling via KEDA (or Lambda). Include DLQ, retries, Terraform/Helm/Argo, dashboards.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",Ops;API,Outbox → SQS/KEDA Productionization,
AVNZ,Task,API: Implement SQS publisher for outbox,"Publish outbox_emails to SQS when SQS_QUEUE_URL is set; keep DB as source of truth with idempotency keys.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",API,,Outbox → SQS/KEDA Productionization
AVNZ,Task,Ops: Terraform SQS main + DLQ,"Add Terraform for SQS queue and DLQ, redrive policy, visibility timeout/backoff.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",Ops,,Outbox → SQS/KEDA Productionization
AVNZ,Task,Ops: KEDA ScaledObject + Deployment,"Add argo/keda-mailer.yaml for Deployment/ServiceAccount (IRSA) and KEDA ScaledObject scaling on queue length.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",Ops,,Outbox → SQS/KEDA Productionization
AVNZ,Task,Ops: IRSA roles + ESO secrets,"Provision IRSA for SQS access and sync env via External Secrets; wire in Helm values.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Ops,,Outbox → SQS/KEDA Productionization
AVNZ,Task,Monitoring: Outbox lag and DLQ dashboards,"Add dashboards/alerts for outbox backlog, DLQ depth, and send failure rates.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Ops,,Outbox → SQS/KEDA Productionization
AVNZ,Task,Prod switch: replace DB worker,"Disable local DB polling worker in production; use SQS worker; document fallback for dev.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Ops;API,,Outbox → SQS/KEDA Productionization
AVNZ,Epic,Usage & Pricing: Filters + Tests,"Ensure usage endpoints support filters and add tests for pricing and cost attribution; persist UI filters.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",API;Web,Usage & Pricing: Filters + Tests,
AVNZ,Task,API: Verify /usage filters,"Confirm /usage/timeseries and /usage/summary support from,to,projectCode,clientId,userId,interval and implement gaps.",High,Emma Johansson,"backlog,autogen,codex,brave-mode",API,,Usage & Pricing: Filters + Tests
AVNZ,Task,Tests: Pricing and usage events,"Add minimal unit/integration tests for rule resolution and cost_usd computation.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",API,,Usage & Pricing: Filters + Tests
AVNZ,Task,Web: Persist filters in UI,"Persist project/client/user/date filters via cookies/localStorage and apply to queries as documented.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Web,,Usage & Pricing: Filters + Tests
AVNZ,Epic,Admin UI Consistency & Accessibility,"Enforce SPA forms, shadcn tables, and accessible tooltips/popovers across admin; align Tasks dashboard with Clients scaffolding.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Web,Admin UI Consistency & Accessibility,
AVNZ,Task,Web: Ensure SPA forms + toasts,"Audit admin forms to ensure RHF+Zod with consistent success/error toasts.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Web,,Admin UI Consistency & Accessibility
AVNZ,Task,Web: Migrate remaining tables to shadcn,"Confirm all tables/pages use shadcn primitives and client wrappers where needed.",Medium,Emma Johansson,"backlog,autogen,codex,brave-mode",Web,,Admin UI Consistency & Accessibility
AVNZ,Task,Web: Replace native titles with tooltips,"Replace native title hints with shadcn Tooltip/Popover and accessible labels/shortcuts.",Low,Emma Johansson,"backlog,autogen,codex,brave-mode",Web,,Admin UI Consistency & Accessibility
